section_id,section_title,question_id,decidim_questionnaire_id
,,507,140
1,1) Introduction,430,140
1,1) Introduction,431,140
1,1) Introduction,432,140
1,1) Introduction,433,140
1,1) Introduction,435,140
1,1) Introduction,437,140
1,1) Introduction,438,140
1,1) Introduction,439,140
1,1) Introduction,440,140
,,434,140
,,436,140
2,2) Participation and Reach,441,140
2,2) Participation and Reach,442,140
2,2) Participation and Reach,443,140
2,2) Participation and Reach,444,140
,,445,140
,,446,140
3,3) Finances and Staffing,447,140
3,3) Finances and Staffing,448,140
3,3) Finances and Staffing,449,140
3,3) Finances and Staffing,450,140
3,3) Finances and Staffing,451,140
3,3) Finances and Staffing,471,140
3,3) Finances and Staffing,452,140
,,453,140
,,454,140
4,5) Physical Collections,455,140
4,5) Physical Collections,456,140
4,5) Physical Collections,462,140
4,5) Physical Collections,463,140
4,5) Physical Collections,457,140
4,5) Physical Collections,464,140
,,459,140
,,460,140
5,6) Digitisation,461,140
5,6) Digitisation,465,140
5,6) Digitisation,466,140
,,467,140
,,468,140
6,7) Digital Collections,469,140
6,7) Digital Collections,470,140
6,7) Digital Collections,472,140
6,7) Digital Collections,473,140
6,7) Digital Collections,474,140
6,7) Digital Collections,475,140
6,7) Digital Collections,476,140
6,7) Digital Collections,477,140
6,7) Digital Collections,478,140
6,7) Digital Collections,479,140
,,480,140
,,481,140
7,8) Satisfation with Europeana,482,140
7,8) Satisfation with Europeana,483,140
7,8) Satisfation with Europeana,484,140
7,8) Satisfation with Europeana,485,140
7,8) Satisfation with Europeana,486,140
,,487,140
,,488,140
8,9) Standards,489,140
8,9) Standards,490,140
8,9) Standards,491,140
9,492,140
,,493,140
9,10) Digital Strategy,494,140
9,10) Digital Strategy,495,140
,,496,140
,,497,140
10,4) Audience and Participation,498,140
10,4) Audience and Participation,499,140
10,4) Audience and Participation,500,140
10,4) Audience and Participation,501,140
10,4) Audience and Participation,502,140
,,503,140
,,504,140
11,11) Feedback,505,140
11,11) Feedback,506,140
,,510,140
11,11) Feedback,508,140
11,11) Feedback,509,140